Date,BTC_Close,ETH_Close
2021-08-20,49322.47,3284.82
2021-08-21,48821.87,3223.43
2021-08-22,49239.22,3238.0
2021-08-23,49488.85,3321.28
2021-08-24,47674.01,3170.62
2021-08-25,48973.32,3226.87
2021-08-26,46843.87,3093.2
2021-08-27,49069.9,3273.45
2021-08-28,48895.35,3244.48
2021-08-29,48767.83,3223.47
2021-08-30,46982.91,3229.64
2021-08-31,47100.89,3429.2
2021-09-01,48810.52,3826.82
2021-09-02,49246.64,3785.82
2021-09-03,49999.14,3938.11
2021-09-04,49915.64,3885.52
2021-09-05,51756.88,3950.29
2021-09-06,52663.9,3926.77
2021-09-07,46863.73,3434.57
2021-09-08,46048.31,3499.0
2021-09-09,46395.14,3424.93
2021-09-10,44850.91,3208.86
2021-09-11,45173.69,3267.21
2021-09-12,46025.24,3404.21
2021-09-13,44940.73,3285.35
2021-09-14,47111.52,3434.37
2021-09-15,48121.41,3613.55
2021-09-16,47737.82,3567.98
2021-09-17,47299.98,3399.81
2021-09-18,48292.74,3435.64
2021-09-19,47241.75,3328.62
2021-09-20,43015.62,2977.28
2021-09-21,40734.38,2765.9
2021-09-22,43543.61,3076.92
2021-09-23,44865.26,3152.5
2021-09-24,42810.57,2928.53
2021-09-25,42670.64,2921.73
2021-09-26,43160.9,3059.37
2021-09-27,42147.35,2925.59
2021-09-28,41026.54,2804.91
2021-09-29,41524.28,2850.45
2021-09-30,43824.1,3000.61
2021-10-01,48141.61,3309.91
2021-10-02,47634.9,3387.76
2021-10-03,48200.01,3417.73
2021-10-04,49224.94,3386.31
2021-10-05,51471.99,3515.27
2021-10-06,55315.0,3574.89
2021-10-07,53785.22,3587.47
2021-10-08,53951.43,3563.13
2021-10-09,54949.72,3574.82
2021-10-10,54659.0,3414.22
2021-10-11,57471.35,3542.12
2021-10-12,55996.93,3491.46
2021-10-13,57367.0,3607.42
2021-10-14,57347.94,3790.82
2021-10-15,61672.42,3868.99
2021-10-16,60875.57,3829.96
2021-10-17,61528.33,3846.85
2021-10-18,62009.84,3744.96
2021-10-19,64280.59,3877.03
2021-10-20,66001.41,4161.15
2021-10-21,62193.15,4052.99
2021-10-22,60688.22,3972.2
2021-10-23,61286.75,4167.12
2021-10-24,60852.22,4082.33
2021-10-25,63078.78,4220.37
2021-10-26,60328.81,4131.52
2021-10-27,58413.44,3922.0
2021-10-28,60575.89,4286.02
2021-10-29,62253.71,4418.89
2021-10-30,61859.19,4322.68
2021-10-31,61299.8,4287.21
2021-11-01,60911.11,4319.43
2021-11-02,63219.99,4589.89
2021-11-03,62896.48,4603.35
2021-11-04,61395.01,4532.32
2021-11-05,60937.12,4474.24
2021-11-06,61470.61,4518.0
2021-11-07,63273.59,4612.59
2021-11-08,67525.83,4807.98
2021-11-09,66947.66,4732.33
2021-11-10,64882.43,4628.78
2021-11-11,64774.26,4719.0
2021-11-12,64122.23,4665.46
2021-11-13,64380.0,4644.28
2021-11-14,65519.1,4626.5
2021-11-15,63606.74,4563.78
2021-11-16,60058.87,4209.76
2021-11-17,60344.87,4287.8
2021-11-18,56891.62,3996.9
2021-11-19,58052.24,4294.76
2021-11-20,59707.51,4412.17
2021-11-21,58622.02,4258.31
2021-11-22,56247.18,4085.97
2021-11-23,57541.27,4339.44
2021-11-24,57138.29,4269.36
2021-11-25,58960.36,4524.85
2021-11-26,53726.53,4041.2
2021-11-27,54721.03,4095.29
2021-11-28,57274.88,4294.78
2021-11-29,57776.25,4444.53
2021-11-30,56950.56,4630.26
2021-12-01,57184.07,4582.95
2021-12-02,56480.34,4511.21
2021-12-03,53601.05,4215.73
2021-12-04,49152.47,4117.25
2021-12-05,49396.33,4196.44
2021-12-06,50441.92,4347.59
2021-12-07,50588.95,4306.4
2021-12-08,50471.19,4436.91
2021-12-09,47545.59,4105.64
2021-12-10,47140.54,3897.94
2021-12-11,49389.99,4089.37
2021-12-12,50053.9,4130.0
2021-12-13,46702.75,3781.93
2021-12-14,48343.28,3858.99
2021-12-15,48864.98,4019.08
2021-12-16,47632.38,3958.11
2021-12-17,46131.2,3875.42
2021-12-18,46834.48,3959.93
2021-12-19,46681.23,3924.14
2021-12-20,46914.16,3944.73
2021-12-21,48889.88,4014.15
2021-12-22,48588.16,3979.51
2021-12-23,50838.81,4111.41
2021-12-24,50820.0,4046.36
2021-12-25,50399.66,4094.83
2021-12-26,50775.49,4063.56
2021-12-27,50701.44,4037.23
2021-12-28,47543.74,3792.75
2021-12-29,46464.66,3630.19
2021-12-30,47120.87,3709.27
2021-12-31,46216.93,3676.23
2022-01-01,47722.65,3765.54
2022-01-02,47286.18,3828.27
2022-01-03,46446.1,3765.89
2022-01-04,45832.01,3785.11
2022-01-05,43451.13,3540.63
2022-01-06,43082.31,3406.81
2022-01-07,41566.48,3199.24
2022-01-08,41679.74,3080.95
2022-01-09,41864.62,3151.97
2022-01-10,41822.49,3082.68
2022-01-11,42729.29,3239.72
2022-01-12,43902.66,3371.26
2022-01-13,42560.11,3240.61
2022-01-14,43059.96,3307.42
2022-01-15,43084.29,3326.04
2022-01-16,43071.66,3346.88
2022-01-17,42201.62,3209.67
2022-01-18,42352.12,3159.85
2022-01-19,41660.01,3084.02
2022-01-20,40680.91,3001.48
2022-01-21,36445.31,2568.15
2022-01-22,35071.42,2412.18
2022-01-23,36244.55,2539.01
2022-01-24,36660.35,2439.29
2022-01-25,36958.32,2458.83
2022-01-26,36809.34,2462.99
2022-01-27,37160.1,2424.25
2022-01-28,37716.56,2544.99
2022-01-29,38166.84,2601.43
2022-01-30,37881.76,2601.68
2022-01-31,38466.9,2686.94
2022-02-01,38694.59,2787.23
2022-02-02,36896.36,2680.67
2022-02-03,37311.61,2695.46
2022-02-04,41574.25,2994.99
2022-02-05,41382.59,3012.65
2022-02-06,42380.87,3054.99
2022-02-07,43839.99,3139.77
2022-02-08,44042.99,3116.69
2022-02-09,44372.72,3243.94
2022-02-10,43495.44,3072.49
2022-02-11,42373.73,2927.54
2022-02-12,42217.87,2918.88
2022-02-13,42053.66,2871.13
2022-02-14,42535.94,2929.75
2022-02-15,44544.86,3183.52
2022-02-16,43873.56,3122.3
2022-02-17,40515.7,2891.87
2022-02-18,39974.44,2779.48
2022-02-19,40079.17,2763.63
2022-02-20,38386.89,2621.99
2022-02-21,37008.16,2568.02
2022-02-22,38230.33,2636.29
2022-02-23,37250.01,2579.71
2022-02-24,38327.21,2596.2
2022-02-25,39219.17,2768.49
2022-02-26,39116.72,2779.47
2022-02-27,37699.07,2616.79
2022-02-28,43160.0,2920.95
2022-03-01,44421.2,2976.33
2022-03-02,43892.98,2947.3
2022-03-03,42454.0,2833.99
2022-03-04,39148.66,2622.1
2022-03-05,39397.96,2665.15
2022-03-06,38420.81,2551.29
2022-03-07,37988.0,2491.12
2022-03-08,38730.63,2575.97
2022-03-09,41941.71,2726.98
2022-03-10,39422.0,2606.7
2022-03-11,38729.57,2556.86
2022-03-12,38807.36,2568.8
2022-03-13,37777.34,2515.65
2022-03-14,39671.37,2589.41
2022-03-15,39280.33,2617.73
2022-03-16,41114.0,2773.81
2022-03-17,40917.9,2811.92
2022-03-18,41757.51,2938.92
2022-03-19,42201.13,2950.84
2022-03-20,41262.11,2861.38
2022-03-21,41002.25,2890.03
2022-03-22,42364.13,2969.64
2022-03-23,42882.76,3036.0
2022-03-24,43991.46,3110.76
2022-03-25,44313.16,3102.14
2022-03-26,44511.27,3145.0
2022-03-27,46827.76,3295.65
2022-03-28,47122.21,3332.92
2022-03-29,47434.8,3400.51
2022-03-30,47067.99,3385.79
2022-03-31,45510.34,3281.51
2022-04-01,46283.49,3455.21
2022-04-02,45811.0,3443.77
2022-04-03,46407.35,3521.91
2022-04-04,46580.51,3519.5
2022-04-05,45497.55,3406.99
2022-04-06,43170.47,3168.51
2022-04-07,43444.19,3227.19
2022-04-08,42252.01,3192.39
2022-04-09,42753.97,3258.57
2022-04-10,42158.85,3203.04
2022-04-11,39530.45,2979.74
2022-04-12,40074.94,3027.66
2022-04-13,41147.79,3118.28
2022-04-14,39942.38,3021.98
2022-04-15,40551.9,3040.56
2022-04-16,40378.71,3059.3
2022-04-17,39678.12,2988.06
2022-04-18,40801.13,3055.56
2022-04-19,41493.18,3101.77
2022-04-20,41358.19,3076.04
2022-04-21,40480.01,2983.58
2022-04-22,39709.18,2962.39
2022-04-23,39441.6,2933.03
2022-04-24,39450.13,2921.0
2022-04-25,40426.08,3006.62
2022-04-26,38112.65,2809.67
2022-04-27,39235.72,2888.96
2022-04-28,39742.07,2936.93
2022-04-29,38596.11,2817.13
2022-04-30,37630.8,2726.66
2022-05-01,38468.35,2824.81
2022-05-02,38525.16,2856.54
2022-05-03,37728.95,2781.7
2022-05-04,39690.0,2940.64
2022-05-05,36552.97,2747.97
2022-05-06,36013.77,2692.85
2022-05-07,35472.39,2635.34
2022-05-08,34038.4,2519.71
2022-05-09,30076.31,2228.55
2022-05-10,31017.1,2342.05
2022-05-11,29103.94,2084.99
2022-05-12,29029.75,1960.22
2022-05-13,29287.05,2009.69
2022-05-14,30086.74,2056.48
2022-05-15,31328.89,2145.29
2022-05-16,29874.01,2023.66
2022-05-17,30444.93,2090.72
2022-05-18,28715.32,1915.11
2022-05-19,30319.23,2019.55
2022-05-20,29201.01,1959.08
2022-05-21,29445.06,1975.07
2022-05-22,30293.94,2043.19
2022-05-23,29109.15,1973.32
2022-05-24,29654.58,1979.41
2022-05-25,29542.15,1942.63
2022-05-26,29201.35,1792.23
2022-05-27,28629.8,1727.27
2022-05-28,29031.33,1792.22
2022-05-29,29468.1,1813.64
2022-05-30,31734.22,1998.78
2022-05-31,31801.04,1941.9
2022-06-01,29805.83,1817.95
2022-06-02,30452.62,1834.08
2022-06-03,29700.21,1775.12
2022-06-04,29864.04,1804.58
2022-06-05,29919.21,1806.23
2022-06-06,31373.1,1859.84
2022-06-07,31125.33,1813.33
2022-06-08,30204.77,1791.88
2022-06-09,30109.93,1788.81
2022-06-10,29091.88,1662.91
2022-06-11,28424.7,1532.89
2022-06-12,26574.53,1434.84
2022-06-13,22487.41,1209.82
2022-06-14,22136.41,1208.9
2022-06-15,22583.72,1237.52
2022-06-16,20401.31,1068.5
2022-06-17,20468.81,1086.94
2022-06-18,18970.79,995.13
2022-06-19,20574.0,1128.53
2022-06-20,20573.89,1128.24
2022-06-21,20723.52,1125.85
2022-06-22,19987.99,1050.19
2022-06-23,21110.13,1144.72
2022-06-24,21237.69,1225.02
2022-06-25,21491.19,1242.36
2022-06-26,21038.07,1197.79
2022-06-27,20742.56,1192.51
2022-06-28,20281.29,1144.05
2022-06-29,20123.01,1100.21
2022-06-30,19942.21,1071.01
2022-07-01,19279.8,1059.73
2022-07-02,19252.81,1067.01
2022-07-03,19315.83,1074.26
2022-07-04,20236.71,1151.0
2022-07-05,20175.83,1132.5
2022-07-06,20564.51,1186.57
2022-07-07,21624.98,1237.49
2022-07-08,21594.75,1214.04
2022-07-09,21591.83,1217.02
2022-07-10,20862.47,1168.36
2022-07-11,19963.61,1096.4
2022-07-12,19328.75,1038.58
2022-07-13,20234.87,1115.0
2022-07-14,20588.84,1193.42
2022-07-15,20830.04,1231.25
2022-07-16,21195.6,1355.85
2022-07-17,20798.16,1338.65
2022-07-18,22432.58,1581.04
2022-07-19,23396.62,1542.32
2022-07-20,23223.3,1521.58
2022-07-21,23152.19,1575.45
2022-07-22,22684.83,1535.27
2022-07-23,22451.07,1548.67
2022-07-24,22579.68,1597.7
2022-07-25,21310.9,1440.79
2022-07-26,21254.67,1449.12
2022-07-27,22952.45,1635.74
2022-07-28,23842.93,1724.52
2022-07-29,23773.75,1721.68
